from_leg_group_id,to_leg_group_id,duration_limit,duration_limit_type,fare_transfer_type,fare_product_id
fl/roja,fl/naranja,7200,1,0,fp/transbordo
fl/roja,fl/azul,7200,1,0,fp/transbordo
fl/roja,fl/plateada,7200,1,0,fp/transbordo
fl/azul,fl/roja,7200,1,0,fp/transbordo
fl/azul,fl/plateada,7200,1,0,fp/transbordo
fl/plateada,fl/roja,7200,1,0,fp/transbordo
fl/plateada,fl/azul,7200,1,0,fp/transbordo
fl/plateada,fl/morada,7200,1,0,fp/transbordo
fl/plateada,fl/amarilla,7200,1,0,fp/transbordo
fl/morada,fl/plateada,7200,1,0,fp/transbordo
fl/amarilla,fl/plateada,7200,1,0,fp/transbordo
fl/amarilla,fl/verde,7200,1,0,fp/transbordo
fl/amarilla,fl/celeste,7200,1,0,fp/transbordo
fl/verde,fl/amarilla,7200,1,0,fp/transbordo
fl/verde,fl/celeste,7200,1,0,fp/transbordo
fl/celeste,fl/verde,7200,1,0,fp/transbordo
fl/celeste,fl/amarilla,7200,1,0,fp/transbordo
fl/celeste,fl/blanca,7200,1,0,fp/transbordo
fl/blanca,fl/celeste,7200,1,0,fp/transbordo
fl/blanca,fl/cafe,7200,1,0,fp/transbordo
fl/blanca,fl/naranja,7200,1,0,fp/transbordo
fl/cafe,fl/blanca,7200,1,0,fp/transbordo
fl/naranja,fl/blanca,7200,1,0,fp/transbordo
fl/naranja,fl/roja,7200,1,0,fp/transbordo
