trip_id,start_time,end_time,headway_secs,exact_times
amarilla/libertador/fin_de_semana,07:00:00,21:00:00,12,
amarilla/libertador/semana,06:30:00,22:30:00,12,
amarilla/mirador/fin_de_semana,07:00:00,21:00:00,12,
amarilla/mirador/semana,06:30:00,22:30:00,12,
azul/16_de_julio/fin_de_semana,07:00:00,21:00:00,12,
azul/16_de_julio/semana,06:30:00,22:30:00,12,
azul/rio_seco/fin_de_semana,07:00:00,21:00:00,12,
azul/rio_seco/semana,06:30:00,22:30:00,12,
blanca/del_poeta/fin_de_semana,07:00:00,21:00:00,12,
blanca/del_poeta/semana,06:30:00,22:30:00,12,
blanca/villarroel/fin_de_semana,07:00:00,21:00:00,12,
blanca/villarroel/semana,06:30:00,22:30:00,12,
cafe/busch/fin_de_semana,07:00:00,21:00:00,12,
cafe/busch/semana,06:30:00,22:30:00,12,
cafe/las_villas/fin_de_semana,07:00:00,21:00:00,12,
cafe/las_villas/semana,06:30:00,22:30:00,12,
celeste/libertador/fin_de_semana,07:00:00,21:00:00,9,
celeste/libertador/semana,06:30:00,22:30:00,9,
celeste/prado/fin_de_semana,07:00:00,21:00:00,9,
celeste/prado/semana,06:30:00,22:30:00,9,
morada_1/6_de_marzo/fin_de_semana,07:00:00,21:00:00,9,
morada_1/6_de_marzo/semana,06:30:00,22:30:00,9,
morada_1/san_jose/fin_de_semana,07:00:00,21:00:00,9,
morada_1/san_jose/semana,06:30:00,22:30:00,9,
morada_2/6_de_marzo/fin_de_semana,07:00:00,21:00:00,12,
morada_2/6_de_marzo/semana,06:30:00,22:30:00,12,
morada_2/san_jose/fin_de_semana,07:00:00,21:00:00,12,
morada_2/san_jose/semana,06:30:00,22:30:00,12,
naranja/estacion_central/fin_de_semana,07:00:00,21:00:00,12,
naranja/estacion_central/semana,06:30:00,22:30:00,12,
naranja/villarroel/fin_de_semana,07:00:00,21:00:00,12,
naranja/villarroel/semana,06:30:00,22:30:00,12,
plateada/16_de_julio/fin_de_semana,07:00:00,21:00:00,12,
plateada/16_de_julio/semana,06:30:00,22:30:00,12,
plateada/mirador/fin_de_semana,07:00:00,21:00:00,12,
plateada/mirador/semana,06:30:00,22:30:00,12,
roja/16_de_julio/fin_de_semana,07:00:00,21:00:00,12,
roja/16_de_julio/semana,06:30:00,22:30:00,12,
roja/estacion_central/fin_de_semana,07:00:00,21:00:00,12,
roja/estacion_central/semana,06:30:00,22:30:00,12,
verde/irpavi/fin_de_semana,07:00:00,21:00:00,12,
verde/irpavi/semana,06:30:00,22:30:00,12,
verde/libertador/fin_de_semana,07:00:00,21:00:00,12,
verde/libertador/semana,06:30:00,22:30:00,12,
