shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-ms6srwce-424,-16.5182222,-68.1498873,0,0.0
shape-ms6srwce-424,-16.5154431,-68.1440911,1,690.87810001976
shape-ms6srwce-424,-16.5146566,-68.1302667,2,2167.258634705512
shape-ms6srwce-424,-16.5190807,-68.1161684,3,3748.692533804823
shape-ms6srwch-425,-16.5190807,-68.1161684,0,0.0
shape-ms6srwch-425,-16.5146566,-68.1302667,1,1581.433899099311
shape-ms6srwch-425,-16.5154431,-68.1440911,2,3057.814433785064
shape-ms6srwch-425,-16.5182222,-68.1498873,3,3748.692533804824
shape-ms6srwci-426,-16.4983623,-68.1647188,0,0.0
shape-ms6srwci-426,-16.4948425,-68.1735982,1,1024.4161669866558
shape-ms6srwci-426,-16.49228,-68.1830731,2,2074.0415213699725
shape-ms6srwci-426,-16.4894805,-68.1931996,3,3197.718538893855
shape-ms6srwci-426,-16.4899312,-68.2097341,4,4961.367380899938
shape-ms6srwcj-427,-16.4899312,-68.2097341,0,0.0
shape-ms6srwcj-427,-16.4894805,-68.1931996,1,1763.6488420060832
shape-ms6srwcj-427,-16.49228,-68.1830731,2,2887.325859529966
shape-ms6srwcj-427,-16.4948425,-68.1735982,3,3936.951213913283
shape-ms6srwcj-427,-16.4983623,-68.1647188,4,4961.367380899939
shape-ms6srwck-428,-16.5108267,-68.1211001,0,0.0
shape-ms6srwck-428,-16.5041008,-68.1208521,1,748.3542014058772
shape-ms6srwck-428,-16.4936829,-68.1213664,2,1908.0704406406269
shape-ms6srwck-428,-16.4846913,-68.1218263,3,2909.093854234235
shape-ms6srwck-429,-16.4846913,-68.1218263,0,0.0
shape-ms6srwck-429,-16.4936829,-68.1213664,1,1001.0234135936086
shape-ms6srwck-429,-16.5041008,-68.1208521,2,2160.739652828358
shape-ms6srwck-429,-16.5108267,-68.1211001,3,2909.093854234235
shape-ms6srwcm-430,-16.4937997,-68.1208793,0,0.0
shape-ms6srwcm-430,-16.4976675,-68.1151193,1,749.7431708589739
shape-ms6srwcn-431,-16.4976675,-68.1151193,0,0.0
shape-ms6srwcn-431,-16.4937997,-68.1208793,1,749.7431708589739
shape-ms6srwcn-432,-16.5185279,-68.1162404,0,0.0
shape-ms6srwcn-432,-16.5112384,-68.1202467,1,916.1980299596502
shape-ms6srwcn-432,-16.5041419,-68.1260507,2,1918.9715148410264
shape-ms6srwcn-432,-16.5004242,-68.1327225,3,2741.684524817035
shape-ms6srwco-433,-16.5004242,-68.1327225,0,0.0
shape-ms6srwco-433,-16.5041419,-68.1260507,1,822.7130099760086
shape-ms6srwco-433,-16.511238388368742,-68.12024673314872,2,1825.483296395353
shape-ms6srwco-433,-16.5185279,-68.1162404,3,2741.684117975944
shape-ms6srwco-434,-16.5227094,-68.1694835,0,0.0
shape-ms6srwco-434,-16.5123847,-68.1539026,1,2019.1656098478968
shape-ms6srwcp-435,-16.5123847,-68.1539026,0,0.0
shape-ms6srwcp-435,-16.5227094,-68.1694835,1,2019.1656098478968
shape-ms6srwcp-436,-16.5121791,-68.1535252,0,0.0
shape-ms6srwcp-436,-16.5000243,-68.1351531,1,2379.7476092026927
shape-ms6srwcp-437,-16.5000243,-68.1351531,0,0.0
shape-ms6srwcp-437,-16.5121791,-68.1535252,1,2379.7476092026927
shape-ms6srwcp-438,-16.4847532,-68.1221015,0,0.0
shape-ms6srwcp-438,-16.4864868,-68.1312901,1,998.5090588564212
shape-ms6srwcp-438,-16.4903582,-68.136854,2,1731.4777333389195
shape-ms6srwcp-438,-16.4920683,-68.1447801,3,2597.6948654377165
shape-ms6srwcq-439,-16.4920683,-68.1447801,0,0.0
shape-ms6srwcq-439,-16.4903582,-68.136854,1,866.2171320987967
shape-ms6srwcq-439,-16.4864868,-68.1312901,2,1599.1858065812953
shape-ms6srwcq-439,-16.4847532,-68.1221015,3,2597.6948654377165
shape-ms6srwcq-440,-16.4987228,-68.164486,0,0.0
shape-ms6srwcq-440,-16.5122591,-68.1537373,1,1891.7560394222755
shape-ms6srwcq-440,-16.5192511,-68.1498635,2,2772.1069559204207
shape-ms6srwcq-441,-16.5192511,-68.1498635,0,0.0
shape-ms6srwcq-441,-16.5122591,-68.1537373,1,880.3509164981454
shape-ms6srwcq-441,-16.4987228,-68.164486,2,2772.1069559204207
shape-ms6srwcr-442,-16.491502,-68.1447706,0,0.0
shape-ms6srwcr-442,-16.4981477,-68.1528137,1,1132.016433589304
shape-ms6srwcr-442,-16.4974263,-68.1645596,2,2386.898535093799
shape-ms6srwcr-443,-16.4974263,-68.1645596,0,0.0
shape-ms6srwcr-443,-16.4981477,-68.1528137,1,1254.8821015044948
shape-ms6srwcr-443,-16.491502,-68.1447706,2,2386.8985350937987
shape-ms6srwcr-444,-16.5191482,-68.1159577,0,0.0
shape-ms6srwcr-444,-16.5215813,-68.1104087,1,650.482980033419
shape-ms6srwcr-444,-16.5268092,-68.1007035,2,1837.212624501787
shape-ms6srwcr-444,-16.5381069,-68.0873791,3,3733.412029022604
shape-ms6srwcs-445,-16.5381069,-68.0873791,0,0.0
shape-ms6srwcs-445,-16.5268092,-68.1007035,1,1896.199404520817
shape-ms6srwcs-445,-16.5215813,-68.1104087,2,3082.929048989185
shape-ms6srwcs-445,-16.5191482,-68.1159577,3,3733.4120290226047
