area_id,stop_id
ar/roja,st/16_de_julio/stop/roja/001
ar/azul,st/16_de_julio/stop/azul/001
ar/plateada,st/16_de_julio/stop/plateada/001
ar/morada,st/6_de_marzo/stop/morada_2/001
ar/verde,st/alto_obrajes/stop/verde/001
ar/verde,st/alto_obrajes/stop/verde/002
ar/naranja,st/armentia/stop/naranja/001
ar/naranja,st/armentia/stop/naranja/002
ar/amarilla,st/buenos_aires/stop/amarilla/001
ar/amarilla,st/buenos_aires/stop/amarilla/002
ar/blanca,st/busch/stop/blanca/001
ar/cafe,st/busch/stop/cafe/001
ar/blanca,st/busch/stop/blanca/002
ar/roja,st/cementerio/stop/roja/001
ar/blanca,st/del_poeta/stop/blanca/001
ar/celeste,st/del_poeta/stop/celeste/001
ar/celeste,st/del_poeta/stop/celeste/002
ar/roja,st/estacion_central/stop/roja/001
ar/naranja,st/estacion_central/stop/naranja/001
ar/morada,st/faro_murillo/stop/morada_2/001
ar/morada,st/faro_murillo/stop/morada_1/001
ar/plateada,st/faro_murillo/stop/plateada/001
ar/plateada,st/faro_murillo/stop/plateada/002
ar/verde,st/irpavi/stop/verde/001
ar/cafe,st/las_villas/stop/cafe/001
ar/amarilla,st/libertador/stop/amarilla/001
ar/verde,st/libertador/stop/verde/001
ar/celeste,st/libertador/stop/celeste/001
ar/amarilla,st/mirador/stop/amarilla/001
ar/plateada,st/mirador/stop/plateada/001
ar/verde,st/obrajes/stop/verde/001
ar/verde,st/obrajes/stop/verde/002
ar/naranja,st/periferica/stop/naranja/001
ar/azul,st/plaza_la_paz/stop/azul/001
ar/azul,st/plaza_la_paz/stop/azul/002
ar/azul,st/plaza_libertad/stop/azul/001
ar/azul,st/plaza_libertad/stop/azul/002
ar/celeste,st/prado/stop/celeste/001
ar/azul,st/rio_seco/stop/azul/001
ar/morada,st/san_jose/stop/morada_2/001
ar/amarilla,st/sopocachi/stop/amarilla/001
ar/amarilla,st/sopocachi/stop/amarilla/002
ar/celeste,st/teatro_al_aire_libre/stop/celeste/001
ar/celeste,st/teatro_al_aire_libre/stop/celeste/002
ar/blanca,st/triangular/stop/blanca/001
ar/blanca,st/triangular/stop/blanca/002
ar/azul,st/upea/stop/azul/001
ar/azul,st/upea/stop/azul/002
ar/naranja,st/villarroel/stop/naranja/001
ar/blanca,st/villarroel/stop/blanca/001
