stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_access
16_de_julio/stat/001,JACH'A QHATHU - 16 de Julio,"El Alto, zona 16 de julio, Avenida Panorámica Norte.",-16.498093,-68.164672,1,,1,
16_de_julio/stop/001,JACH'A QHATHU - 16 de Julio - Anden Final Linea Roja,"El Alto, zona 16 de julio, Avenida Panorámica Norte. Ándenes de la línea roja.",-16.497426,-68.16456,0,16_de_julio/stat/001,1,0
16_de_julio/stop/002,JACH'A QHATHU - 16 de Julio - Anden Final Linea Azul,"El Alto, zona 16 de julio, Avenida Panorámica Norte. Ándenes de la línea azul.",-16.498362,-68.164719,0,16_de_julio/stat/001,1,0
16_de_julio/stop/003,JACH'A QHATHU - 16 de Julio - Anden Inicial Linea Plateada,"El Alto, zona 16 de julio, Avenida Panorámica Norte. Ándenes de la línea plateada.",-16.498723,-68.164486,0,16_de_julio/stat/001,1,0
6_de_marzo_/stat/001,JACH'A THAKI - 6 de Marzo,"El Alto, Av. 6 de marzo S/N.",-16.504152,-68.125994,1,,1,
6_de_marzo_/stop/001,JACH'A THAKI - 6 de Marzo - Anden Final Linea Morada 2do Tramo,"El Alto, Av. 6 de marzo S/N. Ándenes de la línea morada.",-16.522709,-68.169483,0,6_de_marzo_/stat/001,1,0
alto_obraje/stat/001,PATO OBRAJES - Alto Obrajes,Final Av. Costanera y Av. Del Maestro.,-16.52124,-68.110182,1,,1,
alto_obraje/stop/001,PATO OBRAJES - Alto Obrajes - Anden Ida Linea Verde,Final Av. Costanera y Av. Del Maestro. Ándenes de la línea verde.,-16.521522,-68.110563,0,alto_obraje/stat/001,1,0
alto_obraje/stop/002,PATO OBRAJES - Alto Obrajes - Anden Vuelta Linea Verde,Final Av. Costanera y Av. Del Maestro. Ándenes de la línea verde.,-16.521615,-68.11029,0,alto_obraje/stat/001,1,0
armentia___/stat/001,RIOSINHO PAMPA - Armentia,Armentia.,-16.490308,-68.136919,1,,1,
armentia___/stop/001,RIOSINHO PAMPA - Armentia - Anden Ida Linea Naranja,Armentia. Ándenes de la línea naranja.,-16.490406,-68.13692,0,armentia___/stat/001,1,0
armentia___/stop/002,RIOSINHO PAMPA - Armentia - Anden Vuelta Linea Naranja,Armentia. Ándenes de la línea naranja.,-16.490271,-68.136799,0,armentia___/stat/001,1,0
buenos_aire/stat/001,QUTA UMA - Buenos Aires,Av. Buenos Aires y Calle Moxos.,-16.515475,-68.144091,1,,1,
buenos_aire/stop/001,QUTA UMA - Buenos Aires - Anden Ida Linea Amarilla,Av. Buenos Aires y Calle Moxos. Ándenes de la línea amarilla.,-16.515525,-68.144205,0,buenos_aire/stat/001,1,0
buenos_aire/stop/002,QUTA UMA - Buenos Aires - Anden Vuelta Linea Amarilla,Av. Buenos Aires y Calle Moxos. Ándenes de la línea amarilla.,-16.5154,-68.143946,0,buenos_aire/stat/001,1,0
busch______/stat/001,QHUIRWA UMA - Defensores del Chaco,Av. Busch.,-16.493736,-68.121096,1,,1,
busch______/stop/001,QHUIRWA UMA - Defensores del Chaco - Anden Ida Linea Blanca,Av. Busch. Ándenes de la línea blanca.,-16.493615,-68.121394,0,busch______/stat/001,1,0
