table_name,field_name,language,translation,record_id
stops,stop_desc,en,"Manco Cápac Avenue, old train station.",st/estacion_central/station/001
stops,stop_desc,en,"Manco Cápac Avenue, old train station. Platforms of the red line (Línea roja).",st/estacion_central/stop/001
stops,stop_desc,en,"Manco Cápac Avenue, old train station. Platforms of the orange line (Línea naranja).",st/estacion_central/stop/002
stops,stop_desc,en,"Entre Ríos Avenue, behind the Cemetery.",st/cementerio/station/001
stops,stop_desc,en,"Entre Ríos Avenue, behind the Cemetery. Platforms of the red line (Línea roja).",st/cementerio/stop/001
stops,stop_desc,en,"El Alto, 16 de julio area, Panorámica Norte Avenue.",st/16_de_julio/station/001
stops,stop_desc,en,"El Alto, 16 de julio area, Panorámica Norte Avenue. Platforms of the red line (Línea roja).",st/16_de_julio/stop/001
stops,stop_desc,en,"El Alto, 16 de julio area, Panorámica Norte Avenue. Platforms of the blue line (Línea azul).",st/16_de_julio/stop/002
stops,stop_desc,en,"El Alto, 16 de julio area, Panorámica Norte Avenue. Platforms of the silver line (Línea plateada).",st/16_de_julio/stop/003
stops,stop_desc,en,"El Alto, Panorámica Avenue. In the region of the satellite antennas.",st/mirador/station/001
stops,stop_desc,en,"El Alto, Panorámica Avenue. In the region of the satellite antennas. Platforms of the yellow line (Línea amarilla).",st/mirador/stop/001
stops,stop_desc,en,"El Alto, Panorámica Avenue. In the region of the television satellite antennas. Platforms of the silver line (Línea plateada).",st/mirador/stop/002
stops,stop_desc,en,Buenos Aires Avenue and Moxos Street.,st/buenos_aires/station/001
stops,stop_desc,en,Buenos Aires Avenue and Moxos Street. Platforms of the yellow line (Línea amarilla).,st/buenos_aires/stop/001
stops,stop_desc,en,"Miguel de Cervantes Street and Saavedra Street, corner with the Méndez Arcos Street.",st/sopocachi/station/001
stops,stop_desc,en,"Miguel de Cervantes Street and Saavedra Street, corner with the Méndez Arcos Street. Platforms of the yellow line (Línea amarilla).",st/sopocachi/stop/001
stops,stop_desc,en,"Libertador Avenue, at the height of the Holguín Curve.",st/libertador/station/001
stops,stop_desc,en,"Libertador Avenue, at the height of the Holguín Curve. Platforms of the yellow line (Línea amarilla).",st/libertador/stop/001
stops,stop_desc,en,"Libertador Avenue, at the height of the Holguín Curve. Platforms of the green line (Línea verde).",st/libertador/stop/002
stops,stop_desc,en,Holguín Curve. Platforms of the light blue line (Línea celeste).,st/libertador/stop/003
stops,stop_desc,en,Final of the Costanera Avenue and the Del Maestro Avenue.,st/alto_obrajes/station/001
stops,stop_desc,en,Final of the Costanera Avenue and the Del Maestro Avenue. Platforms of the green line (Línea verde).,st/alto_obrajes/stop/001
stops,stop_desc,en,Height of 17th Street (near the Esperanza Bridge).,st/obrajes/station/001
stops,stop_desc,en,Height of 17th Street (near the Esperanza Bridge). Platforms of the green line (Línea verde).,st/obrajes/stop/001
stops,stop_desc,en,"Military School of the Army, at the height of 12th Street of Calacoto.",st/irpavi/station/001
stops,stop_desc,en,"Military School of the Army, at the height of 12th Street of Calacoto. Platforms of the green line (Línea verde).",st/irpavi/stop/001
stops,stop_desc,en,"El Alto, Juan Pablo II Avenue and the detour towards the town of Copacabana.",st/rio_seco/station/001
stops,stop_desc,en,"El Alto, Juan Pablo II Avenue and the detour towards the town of Copacabana. Platforms of the blue line (Línea azul).",st/rio_seco/stop/001
stops,stop_desc,en,"El Alto, 16 de Julio Avenue between Sucre A and Sucre B Avenues.",st/upea/station/001
